"Sequence ID (GISAID EPI-ISL)"	"Authors"	"Originating laboratory"	"Submitting laboratory"
"EPI_ISL_3568820"	"Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago avila-Rios, Eduardo Becerril-Vargas, Victor Hugo Borja-Aburto, Celia Boukadida, Cristobal Chaidez-Quiroz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-Garcia, Celida Duque Molina, Julissa Enciso-Ibarra, Jose Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo Garcia-Arias, Alejandra Garcia-Gasca, Bruno Gomez-Gil, Jean Pierre Gonzalez, Irvin Gonzalez-Lopez, Concepcion Grajales-MuÃ±iz, Ricardo Grande, Rosa Maria Gutierrez Rios, Jesus Hernandez, Alejandra Hernandez-Teran, Alfredo Herrera-Estrella, Carla Ivon Herrera-Najera, Pavel Isa, Veronica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Roman, Brenda Irasema Maldonado-Meza, Bernardo Martinez-Miguel, Jose Arturo Martinez-Orozco, Celida Martinez- Rodriguez, Margarita Matias-Florentino, Fidencio Mejia-Nepomuceno, Maria Guadalupe de Jesus Mireles-Rivera, Gloria Maria Molina-Salinas, Hector Montoya-Fuentes, , Mario Mujica-Sanchez, Jose Esteban MuÃ±oz-Medina, Jose de Jesus NuÃ±ez-Contreras, Alicia OcaÃ±a-Mondragon, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juarez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramirez-Plascencia, Jorge Salas-Hernandez, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, Maria Guadalupe Santiago-Mauricio, Selene Zarate, Nelly Selem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vazquez-Perez."	"Laboratorio Central de Epidemiologia (LCE)"	"Unidad de Genomica Avanzada"
"EPI_ISL_3568821"	"Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago avila-Rios, Eduardo Becerril-Vargas, Victor Hugo Borja-Aburto, Celia Boukadida, Cristobal Chaidez-Quiroz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-Garcia, Celida Duque Molina, Julissa Enciso-Ibarra, Jose Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo Garcia-Arias, Alejandra Garcia-Gasca, Bruno Gomez-Gil, Jean Pierre Gonzalez, Irvin Gonzalez-Lopez, Concepcion Grajales-MuÃ±iz, Ricardo Grande, Rosa Maria Gutierrez Rios, Jesus Hernandez, Alejandra Hernandez-Teran, Alfredo Herrera-Estrella, Carla Ivon Herrera-Najera, Pavel Isa, Veronica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Roman, Brenda Irasema Maldonado-Meza, Bernardo Martinez-Miguel, Jose Arturo Martinez-Orozco, Celida Martinez- Rodriguez, Margarita Matias-Florentino, Fidencio Mejia-Nepomuceno, Maria Guadalupe de Jesus Mireles-Rivera, Gloria Maria Molina-Salinas, Hector Montoya-Fuentes, , Mario Mujica-Sanchez, Jose Esteban MuÃ±oz-Medina, Jose de Jesus NuÃ±ez-Contreras, Alicia OcaÃ±a-Mondragon, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juarez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramirez-Plascencia, Jorge Salas-Hernandez, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, Maria Guadalupe Santiago-Mauricio, Selene Zarate, Nelly Selem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vazquez-Perez."	"Laboratorio Central de Epidemiologia (LCE)"	"Unidad de Genomica Avanzada"
"EPI_ISL_3568822"	"Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago avila-Rios, Eduardo Becerril-Vargas, Victor Hugo Borja-Aburto, Celia Boukadida, Cristobal Chaidez-Quiroz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-Garcia, Celida Duque Molina, Julissa Enciso-Ibarra, Jose Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo Garcia-Arias, Alejandra Garcia-Gasca, Bruno Gomez-Gil, Jean Pierre Gonzalez, Irvin Gonzalez-Lopez, Concepcion Grajales-MuÃ±iz, Ricardo Grande, Rosa Maria Gutierrez Rios, Jesus Hernandez, Alejandra Hernandez-Teran, Alfredo Herrera-Estrella, Carla Ivon Herrera-Najera, Pavel Isa, Veronica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Roman, Brenda Irasema Maldonado-Meza, Bernardo Martinez-Miguel, Jose Arturo Martinez-Orozco, Celida Martinez- Rodriguez, Margarita Matias-Florentino, Fidencio Mejia-Nepomuceno, Maria Guadalupe de Jesus Mireles-Rivera, Gloria Maria Molina-Salinas, Hector Montoya-Fuentes, , Mario Mujica-Sanchez, Jose Esteban MuÃ±oz-Medina, Jose de Jesus NuÃ±ez-Contreras, Alicia OcaÃ±a-Mondragon, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juarez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramirez-Plascencia, Jorge Salas-Hernandez, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, Maria Guadalupe Santiago-Mauricio, Selene Zarate, Nelly Selem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vazquez-Perez."	"Laboratorio Central de Epidemiologia (LCE)"	"Unidad de Genomica Avanzada"
"EPI_ISL_3568823"	"Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago avila-Rios, Eduardo Becerril-Vargas, Victor Hugo Borja-Aburto, Celia Boukadida, Cristobal Chaidez-Quiroz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-Garcia, Celida Duque Molina, Julissa Enciso-Ibarra, Jose Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo Garcia-Arias, Alejandra Garcia-Gasca, Bruno Gomez-Gil, Jean Pierre Gonzalez, Irvin Gonzalez-Lopez, Concepcion Grajales-MuÃ±iz, Ricardo Grande, Rosa Maria Gutierrez Rios, Jesus Hernandez, Alejandra Hernandez-Teran, Alfredo Herrera-Estrella, Carla Ivon Herrera-Najera, Pavel Isa, Veronica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Roman, Brenda Irasema Maldonado-Meza, Bernardo Martinez-Miguel, Jose Arturo Martinez-Orozco, Celida Martinez- Rodriguez, Margarita Matias-Florentino, Fidencio Mejia-Nepomuceno, Maria Guadalupe de Jesus Mireles-Rivera, Gloria Maria Molina-Salinas, Hector Montoya-Fuentes, , Mario Mujica-Sanchez, Jose Esteban MuÃ±oz-Medina, Jose de Jesus NuÃ±ez-Contreras, Alicia OcaÃ±a-Mondragon, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juarez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramirez-Plascencia, Jorge Salas-Hernandez, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, Maria Guadalupe Santiago-Mauricio, Selene Zarate, Nelly Selem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vazquez-Perez."	"Laboratorio Central de Epidemiologia (LCE)"	"Unidad de Genomica Avanzada"
"EPI_ISL_3568824"	"Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago avila-Rios, Eduardo Becerril-Vargas, Victor Hugo Borja-Aburto, Celia Boukadida, Cristobal Chaidez-Quiroz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-Garcia, Celida Duque Molina, Julissa Enciso-Ibarra, Jose Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo Garcia-Arias, Alejandra Garcia-Gasca, Bruno Gomez-Gil, Jean Pierre Gonzalez, Irvin Gonzalez-Lopez, Concepcion Grajales-MuÃ±iz, Ricardo Grande, Rosa Maria Gutierrez Rios, Jesus Hernandez, Alejandra Hernandez-Teran, Alfredo Herrera-Estrella, Carla Ivon Herrera-Najera, Pavel Isa, Veronica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Roman, Brenda Irasema Maldonado-Meza, Bernardo Martinez-Miguel, Jose Arturo Martinez-Orozco, Celida Martinez- Rodriguez, Margarita Matias-Florentino, Fidencio Mejia-Nepomuceno, Maria Guadalupe de Jesus Mireles-Rivera, Gloria Maria Molina-Salinas, Hector Montoya-Fuentes, , Mario Mujica-Sanchez, Jose Esteban MuÃ±oz-Medina, Jose de Jesus NuÃ±ez-Contreras, Alicia OcaÃ±a-Mondragon, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juarez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramirez-Plascencia, Jorge Salas-Hernandez, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, Maria Guadalupe Santiago-Mauricio, Selene Zarate, Nelly Selem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vazquez-Perez."	"Laboratorio Central de Epidemiologia (LCE)"	"Unidad de Genomica Avanzada"
"EPI_ISL_3569033"	"Henry Lee, Michael Hammerling, Melissa Hopkins, Cybill del Castillo, Shinyoung Clair Kang, William Ward, Pradeep Bugga, Sol Rey, Dylan Law, Alex Carpio, Isabel Fernandez Escapa, Haiping Hao, Jon Laurent"	"Pandemic Response Lab - NYC"	"Pandemic Response Lab, R&D"
"EPI_ISL_3569374"	"Henry Lee, Michael Hammerling, Melissa Hopkins, Cybill del Castillo, Shinyoung Clair Kang, William Ward, Pradeep Bugga, Sol Rey, Dylan Law, Alex Carpio, Isabel Fernandez Escapa, Haiping Hao, Jon Laurent"	"Pandemic Response Lab - NYC"	"Pandemic Response Lab, R&D"
"EPI_ISL_3569524"	"Henry Lee, Michael Hammerling, Melissa Hopkins, Cybill del Castillo, Shinyoung Clair Kang, William Ward, Pradeep Bugga, Sol Rey, Dylan Law, Alex Carpio, Isabel Fernandez Escapa, Haiping Hao, Jon Laurent"	"Pandemic Response Lab - NYC"	"Pandemic Response Lab, R&D"
"EPI_ISL_3573702"	"Cedro-Tanda A, Cisneros-Villanueva M, Blancas S, Escobar-Arrazola MA, Ramirez-Vega O, Abraham Campos-Romero, Moreno-Camacho José Luis, Rodriguez-Gallegos Jorge, Luna-Ruiz Marco, Rangel-DeLeon D, Munguia-Garza P, Hidalgo-Miranda A, Mendoza-Vargas A, Reyes-Grajeda JP, Herrera-Montalvo LA."	"Salud Digna"	"Instituto Nacional de Medicina Genomica"
"EPI_ISL_3587053"	"Abigail C. Shockey, Alicia J. Mooney, Erika M. Hanson, Tonya Danz, Richard Griesser, Sara Wagner, Kelsey R. Florek"	"Wisconsin State Laboratory of Hygiene Communicable Disease Division"	"Wisconsin State Laboratory of Hygiene Communicable Disease Division"
"EPI_ISL_3597244"	"Robert Moller, Bijaya Dhakal, Krishna Maddula, John Woody, Cora Lahey, Ellen Pizarek"	"Sonic Reference Laboratory"	"Sonic Reference Laboratory"
"EPI_ISL_3603830"	"Dakota Howard,Dhwani Batra,Peter Cook,Kara Moser,Adrian Paskey,Jason Caravas,Benjamin Rambo-Martin,Shatavia Morrison,Christopher Gulvick,Scott Sammons,Yvette Unoarumhi,Darlene Wagner,Matthew Schmerer,Matthew Tugwell,Lauren Moon,Clinton Paden,Duncan MacCannell"	"Mako Medical"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3605212"	"Dakota Howard,Dhwani Batra,Peter Cook,Kara Moser,Adrian Paskey,Jason Caravas,Benjamin Rambo-Martin,Shatavia Morrison,Christopher Gulvick,Scott Sammons,Yvette Unoarumhi,Darlene Wagner,Matthew Schmerer,Minoo Agarwal,Eyad Almasri,Debbie Boles,Ayla Burns,Nuthawin Charoensri,Oren Cohen,Susan Countryman,Mary Cristobal,Bobbi Croy,Suzanne Dale,Hrushikesh Deshmukh,Amanda Douglas,Vincent Drouillon,Marcia Eisenberg,Howard Engler,Rama Ghatti,Prashant Gupta,Susan Hicks,Jake Humphrey,Lax Iyer,Lisa Pfefferle,Manoj Jain,Matthew Robinson,Mohan Kolli,Brian Krueger,Tim Kuphal,Stanley Letovsky,Michael Levandoski,Craig Lukasik,Jonathan Meltzer,Brian Norvell,Mindy Nye,Scott Parker,Christos Petropoulos,John Pruitt,Steven Ragan,Scott Ryan,Mike Sapeta,Jana Schroth,Suresh Selvaraju,Goran Stevovic,Amanda Suchanek,Andrea Throop,Lyndon Tilson,Thomas Urban,Joe Voshell,Kimberly Wagner,Jonathan Williams,Mary Williamson,Qian Zeng,Tricia Zwiefelhofer,Clinton Paden,Duncan MacCannell"	"Laboratory Corporation of America"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3606071"	"Dakota Howard,Dhwani Batra,Peter Cook,Kara Moser,Adrian Paskey,Jason Caravas,Benjamin Rambo-Martin,Shatavia Morrison,Christopher Gulvick,Scott Sammons,Yvette Unoarumhi,Darlene Wagner,Matthew Schmerer,Minoo Agarwal,Eyad Almasri,Debbie Boles,Ayla Burns,Nuthawin Charoensri,Oren Cohen,Susan Countryman,Mary Cristobal,Bobbi Croy,Suzanne Dale,Hrushikesh Deshmukh,Amanda Douglas,Vincent Drouillon,Marcia Eisenberg,Howard Engler,Rama Ghatti,Prashant Gupta,Susan Hicks,Jake Humphrey,Lax Iyer,Lisa Pfefferle,Manoj Jain,Matthew Robinson,Mohan Kolli,Brian Krueger,Tim Kuphal,Stanley Letovsky,Michael Levandoski,Craig Lukasik,Jonathan Meltzer,Brian Norvell,Mindy Nye,Scott Parker,Christos Petropoulos,John Pruitt,Steven Ragan,Scott Ryan,Mike Sapeta,Jana Schroth,Suresh Selvaraju,Goran Stevovic,Amanda Suchanek,Andrea Throop,Lyndon Tilson,Thomas Urban,Joe Voshell,Kimberly Wagner,Jonathan Williams,Mary Williamson,Qian Zeng,Tricia Zwiefelhofer,Clinton Paden,Duncan MacCannell"	"Laboratory Corporation of America"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3606388"	"Dakota Howard,Dhwani Batra,Peter Cook,Kara Moser,Adrian Paskey,Jason Caravas,Benjamin Rambo-Martin,Shatavia Morrison,Christopher Gulvick,Scott Sammons,Yvette Unoarumhi,Darlene Wagner,Matthew Schmerer,Minoo Agarwal,Eyad Almasri,Debbie Boles,Ayla Burns,Nuthawin Charoensri,Oren Cohen,Susan Countryman,Mary Cristobal,Bobbi Croy,Suzanne Dale,Hrushikesh Deshmukh,Amanda Douglas,Vincent Drouillon,Marcia Eisenberg,Howard Engler,Rama Ghatti,Prashant Gupta,Susan Hicks,Jake Humphrey,Lax Iyer,Lisa Pfefferle,Manoj Jain,Matthew Robinson,Mohan Kolli,Brian Krueger,Tim Kuphal,Stanley Letovsky,Michael Levandoski,Craig Lukasik,Jonathan Meltzer,Brian Norvell,Mindy Nye,Scott Parker,Christos Petropoulos,John Pruitt,Steven Ragan,Scott Ryan,Mike Sapeta,Jana Schroth,Suresh Selvaraju,Goran Stevovic,Amanda Suchanek,Andrea Throop,Lyndon Tilson,Thomas Urban,Joe Voshell,Kimberly Wagner,Jonathan Williams,Mary Williamson,Qian Zeng,Tricia Zwiefelhofer,Clinton Paden,Duncan MacCannell"	"Laboratory Corporation of America"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3606835"	"Dakota Howard,Dhwani Batra,Peter Cook,Kara Moser,Adrian Paskey,Jason Caravas,Benjamin Rambo-Martin,Shatavia Morrison,Christopher Gulvick,Scott Sammons,Yvette Unoarumhi,Darlene Wagner,Matthew Schmerer,Minoo Agarwal,Eyad Almasri,Debbie Boles,Ayla Burns,Nuthawin Charoensri,Oren Cohen,Susan Countryman,Mary Cristobal,Bobbi Croy,Suzanne Dale,Hrushikesh Deshmukh,Amanda Douglas,Vincent Drouillon,Marcia Eisenberg,Howard Engler,Rama Ghatti,Prashant Gupta,Susan Hicks,Jake Humphrey,Lax Iyer,Lisa Pfefferle,Manoj Jain,Matthew Robinson,Mohan Kolli,Brian Krueger,Tim Kuphal,Stanley Letovsky,Michael Levandoski,Craig Lukasik,Jonathan Meltzer,Brian Norvell,Mindy Nye,Scott Parker,Christos Petropoulos,John Pruitt,Steven Ragan,Scott Ryan,Mike Sapeta,Jana Schroth,Suresh Selvaraju,Goran Stevovic,Amanda Suchanek,Andrea Throop,Lyndon Tilson,Thomas Urban,Joe Voshell,Kimberly Wagner,Jonathan Williams,Mary Williamson,Qian Zeng,Tricia Zwiefelhofer,Clinton Paden,Duncan MacCannell"	"Laboratory Corporation of America"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3607731"	"Dakota Howard,Dhwani Batra,Peter Cook,Kara Moser,Adrian Paskey,Jason Caravas,Benjamin Rambo-Martin,Shatavia Morrison,Christopher Gulvick,Scott Sammons,Yvette Unoarumhi,Darlene Wagner,Matthew Schmerer,Minoo Agarwal,Eyad Almasri,Debbie Boles,Ayla Burns,Nuthawin Charoensri,Oren Cohen,Susan Countryman,Mary Cristobal,Bobbi Croy,Suzanne Dale,Hrushikesh Deshmukh,Amanda Douglas,Vincent Drouillon,Marcia Eisenberg,Howard Engler,Rama Ghatti,Prashant Gupta,Susan Hicks,Jake Humphrey,Lax Iyer,Lisa Pfefferle,Manoj Jain,Matthew Robinson,Mohan Kolli,Brian Krueger,Tim Kuphal,Stanley Letovsky,Michael Levandoski,Craig Lukasik,Jonathan Meltzer,Brian Norvell,Mindy Nye,Scott Parker,Christos Petropoulos,John Pruitt,Steven Ragan,Scott Ryan,Mike Sapeta,Jana Schroth,Suresh Selvaraju,Goran Stevovic,Amanda Suchanek,Andrea Throop,Lyndon Tilson,Thomas Urban,Joe Voshell,Kimberly Wagner,Jonathan Williams,Mary Williamson,Qian Zeng,Tricia Zwiefelhofer,Clinton Paden,Duncan MacCannell"	"Laboratory Corporation of America"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3607766"	"Dakota Howard,Dhwani Batra,Peter Cook,Kara Moser,Adrian Paskey,Jason Caravas,Benjamin Rambo-Martin,Shatavia Morrison,Christopher Gulvick,Scott Sammons,Yvette Unoarumhi,Darlene Wagner,Matthew Schmerer,Minoo Agarwal,Eyad Almasri,Debbie Boles,Ayla Burns,Nuthawin Charoensri,Oren Cohen,Susan Countryman,Mary Cristobal,Bobbi Croy,Suzanne Dale,Hrushikesh Deshmukh,Amanda Douglas,Vincent Drouillon,Marcia Eisenberg,Howard Engler,Rama Ghatti,Prashant Gupta,Susan Hicks,Jake Humphrey,Lax Iyer,Lisa Pfefferle,Manoj Jain,Matthew Robinson,Mohan Kolli,Brian Krueger,Tim Kuphal,Stanley Letovsky,Michael Levandoski,Craig Lukasik,Jonathan Meltzer,Brian Norvell,Mindy Nye,Scott Parker,Christos Petropoulos,John Pruitt,Steven Ragan,Scott Ryan,Mike Sapeta,Jana Schroth,Suresh Selvaraju,Goran Stevovic,Amanda Suchanek,Andrea Throop,Lyndon Tilson,Thomas Urban,Joe Voshell,Kimberly Wagner,Jonathan Williams,Mary Williamson,Qian Zeng,Tricia Zwiefelhofer,Clinton Paden,Duncan MacCannell"	"Laboratory Corporation of America"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3608167"	"Dakota Howard,Dhwani Batra,Peter Cook,Kara Moser,Adrian Paskey,Jason Caravas,Benjamin Rambo-Martin,Shatavia Morrison,Christopher Gulvick,Scott Sammons,Yvette Unoarumhi,Darlene Wagner,Matthew Schmerer,Harry Gao,Mickey Li,John Gao,Joseph Fierro,Benafsh Sapra,Becky Tsai,Yan Meng,Doreen Ng,James Xie,Clinton Paden,Duncan MacCannell"	"Fulgent Genetics"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3610187"	"Dakota Howard,Dhwani Batra,Peter Cook,Kara Moser,Adrian Paskey,Jason Caravas,Benjamin Rambo-Martin,Shatavia Morrison,Christopher Gulvick,Scott Sammons,Yvette Unoarumhi,Darlene Wagner,Matthew Schmerer,Christian Bixby,Yihe Wang,Jonathan Schultz,Chirayu Goswami,Russ Hager,Robin Grimwood,Clinton Paden,Duncan MacCannell"	"Infinity Biologix"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3610779"	"Jonathan Smellie, Karla Montes, Brittany Balcewich, Tanisha Gilbert"	"COVID LAB"	"Cayman Islands Forensic Science Lab"
"EPI_ISL_3611057"	"Jonathan Smellie, Karla Montes, Tanisha Gilbert, Brittany Balcewich"	"COVID LAB"	"COVID LAB"
"EPI_ISL_3631600"	"Trung Huynh, Jessica Escobar, Katherine Fullerton, Nobuko Fukushima, Matthew Contursi, Stacy White, Linda Getsinger, Victor Waddell"	"Arizona State Public Health Laboratory"	"Arizona State Public Health Laboratory"
"EPI_ISL_3631636"	"Ghinwa Dumyati, Dwight Hardy, Andrew Cameron, Stepan Voljehn, Kelly DeLary"	"URMC LABS"	"URMC LABS"
"EPI_ISL_3631641"	"Laura Bankers, Molly C. Hetherington-Rauth, Diana Ir, Alexandria Rossheim, Michael Martin, Mandy Waters, Shannon R. Matzinger, Sarah Elizabeth Totten, Emily A. Travanty"	"Colorado Department of Public Health and Environment"	"Colorado Department of Public Health and Environment"
"EPI_ISL_3631644"	"Laura Bankers, Molly C. Hetherington-Rauth, Diana Ir, Alexandria Rossheim, Michael Martin, Mandy Waters, Shannon R. Matzinger, Sarah Elizabeth Totten, Emily A. Travanty"	"Colorado Department of Public Health and Environment"	"Colorado Department of Public Health and Environment"
"EPI_ISL_3664290"	"Matthew Burns, Aimee Ceniseros, Christian Loera, Dr. Christopher Ball, Ying Pei, Cheri Lamb McFarlane, James Razor, Emily Bartlett"	"Idaho Bureau of Laboratories"	"Boise VA Medical Center, PALMS"
"EPI_ISL_3666177"	"Pavitra Roychoudhury, Shah Mohamed Bakhash, Ricardo Perez, Maria Lukes, Hong Xie, Tien V. Nguyen, Savanna S. Carmack, Sean Ellis, Nathan Breit, Robert J. Livingston, Meei-Li Huang, Keith R Jerome, Patrick Mathias, Alexander Greninger"	"UW Virology Lab"	"UW Virology Lab"
"EPI_ISL_3666362"	"Pavitra Roychoudhury, Shah Mohamed Bakhash, Ricardo Perez, Maria Lukes, Hong Xie, Tien V. Nguyen, Savanna S. Carmack, Sean Ellis, Nathan Breit, Robert J. Livingston, Meei-Li Huang, Keith R Jerome, Patrick Mathias, Alexander Greninger"	"UW Virology Lab"	"UW Virology Lab"
"EPI_ISL_3666502"	"Pavitra Roychoudhury, Shah Mohamed Bakhash, Ricardo Perez, Maria Lukes, Hong Xie, Tien V. Nguyen, Savanna S. Carmack, Sean Ellis, Nathan Breit, Robert J. Livingston, Meei-Li Huang, Keith R Jerome, Patrick Mathias, Alexander Greninger"	"UW Virology Lab"	"UW Virology Lab"
"EPI_ISL_3666545"	"Pavitra Roychoudhury, Shah Mohamed Bakhash, Ricardo Perez, Maria Lukes, Hong Xie, Tien V. Nguyen, Savanna S. Carmack, Sean Ellis, Nathan Breit, Robert J. Livingston, Meei-Li Huang, Keith R Jerome, Patrick Mathias, Alexander Greninger"	"UW Virology Lab"	"UW Virology Lab"
"EPI_ISL_3667885"	"Virginia Division of Consolidated Laboratory Services"	"Virginia Division of Consolidated Laboratory Services"	"Virginia Division of Consolidated Laboratory Services"
"EPI_ISL_3668910"	"Siddle,K.J., Adams,G., Pearlman,L., Gladden-Young,A., Vicente,G., Blumenstiel,B., DeFelice,M., Lee,M., McGovern,S., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Meldrim,J., Granger,B., Lemieux,J.E., Birren,B.W., Sabeti,P.C., Larkin,K., Dodge,S., Lennon,N., Madoff,L., Brown,C., Gallagher,G., Smole,S., Park,D.J., Gabriel,S., and MacInnis,B.L."	"Broad Institute Clinical Research Sequencing Platform"	"Infectious Disease Program, Broad Institute of Harvard and MIT"
"EPI_ISL_3669622"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3669623"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3669624"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3669625"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3669626"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3669627"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3669628"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3669629"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3669630"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3669631"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3669659"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3671313"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3671325"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3671326"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3671327"	"Emily Smith on behalf of CDPH-COVIDNet and UCSD EXCITE lab"	"CDPH VBL"	"California Department of Public Health"
"EPI_ISL_3672253"	"Lindsey Bodnar, Shiv K. Verma, Ryan Pachucki, Chelsea San Filippo, Jacquelyn Deverell, Dana Woell, Allison Roder, Byeong Jeong"	"NJDOH, Public Health and Environmental Laboratories"	"NJ_PHEL"
